epoch accuracy loss top_3_categorical_accuracy top_5_categorical_accuracy val_accuracy val_loss val_top_3_categorical_accuracy val_top_5_categorical_accuracy
0 0.4864608943462372 2.8429007530212402 0.757585346698761 0.8571353554725647 0.5079232454299927 2.715993881225586 0.7864887118339539 0.888518214225769
1 0.6385621428489685 2.0780417919158936 0.883292555809021 0.949211835861206 0.5485126376152039 2.275554656982422 0.8318042755126953 0.9140951037406921
2 0.6902713179588318 1.6979269981384277 0.9089497923851013 0.9613168239593506 0.5721434354782104 2.0750322341918945 0.844314694404602 0.9229913949966431
3 0.7196915745735168 1.427188754081726 0.9241598844528198 0.9707902669906616 0.5849319100379944 1.941107153892517 0.8298582434654236 0.9118710160255432
4 0.743296205997467 1.2291983366012573 0.935370147228241 0.9755006432533264 0.6002224087715149 1.8685983419418335 0.8434807062149048 0.914651095867157
5 0.7613220810890198 1.0800998210906982 0.9439488649368286 0.9784216284751892 0.6146789193153381 1.7577388286590576 0.8498749136924744 0.9196552634239197
6 0.7788479328155518 0.9615994691848755 0.9488961100578308 0.9821057319641113 0.5999444127082825 1.7241328954696655 0.8448707461357117 0.915485143661499
7 0.7971895337104797 0.8598242402076721 0.954974889755249 0.98457932472229 0.5835418701171875 1.926175594329834 0.822629988193512 0.9032527208328247
8 0.8044525384902954 0.7888383865356445 0.9589747786521912 0.9865530133247375 0.5910481214523315 1.7690175771713257 0.8432026505470276 0.9132610559463501
9 0.8148732781410217 0.7272847890853882 0.9642114639282227 0.9887108206748962 0.595774233341217 1.7277954816818237 0.844314694404602 0.9143730998039246
10 0.8244783282279968 0.6721425652503967 0.9673166275024414 0.9900528788566589 0.5624130964279175 1.9323580265045166 0.8101195693016052 0.8993605971336365
11 0.8327675461769104 0.6314130425453186 0.9688692688941956 0.990973949432373 0.5918821096420288 1.754833459854126 0.8418126106262207 0.8990825414657593
12 0.8428988456726074 0.5885261297225952 0.971869170665741 0.991947591304779 0.5832638144493103 1.8854929208755493 0.8340283632278442 0.9054768085479736
13 0.849372386932373 0.5574033260345459 0.973500669002533 0.9922107458114624 0.5885460376739502 1.8866857290267944 0.8273561596870422 0.9007506370544434
14 0.8533459901809692 0.5319505333900452 0.9752112030982971 0.9930528402328491 0.547122597694397 2.304744005203247 0.785932719707489 0.8673895001411438
