epoch accuracy loss top_k_categorical_accuracy val_accuracy val_loss val_top_k_categorical_accuracy
0 0.4867796003818512 3.056248664855957 0.8236332535743713 0.5609461665153503 2.730106830596924 0.9089489579200745
1 0.6607503890991211 2.4150781631469727 0.9405565857887268 0.6166784763336182 2.5365664958953857 0.9309827089309692
2 0.7126502394676208 2.235168933868408 0.9569092392921448 0.6405678987503052 2.4392478466033936 0.9421762824058533
3 0.7457384467124939 2.112708330154419 0.9657769203186035 0.6558854579925537 2.3889172077178955 0.944621205329895
4 0.7689276337623596 2.0186784267425537 0.9707759022712708 0.66171795129776 2.346944808959961 0.9489218592643738
5 0.7894101738929749 1.936305284500122 0.9752345085144043 0.6690232157707214 2.316767454147339 0.9511016607284546
6 0.8070688843727112 1.863356113433838 0.978936493396759 0.6700247526168823 2.295825719833374 0.9506009221076965
7 0.8225569128990173 1.7954219579696655 0.9818278551101685 0.6692883372306824 2.2897603511810303 0.9512194991111755
8 0.8381664752960205 1.7308613061904907 0.9844985008239746 0.6761517524719238 2.264446258544922 0.9523388743400574
9 0.8533662557601929 1.6681268215179443 0.9870024919509888 0.6755626201629639 2.2672226428985596 0.9518086314201355
