epoch accuracy loss val_accuracy val_loss
0 0.6736353039741516 1.0306518077850342 0.6177977919578552 1.2148208618164062
1 0.771008312702179 0.7182769179344177 0.6189171671867371 1.2261602878570557
2 0.8181883692741394 0.5634291768074036 0.6584482192993164 1.1358438730239868
3 0.8606261014938354 0.42490896582603455 0.6308766603469849 1.275471568107605
4 0.8965335488319397 0.3104236423969269 0.6654294729232788 1.2646634578704834
5 0.9242579340934753 0.22449086606502533 0.6512607336044312 1.4692002534866333
6 0.945087194442749 0.16078408062458038 0.6324083805084229 1.7910724878311157
7 0.958206295967102 0.12260288745164871 0.6600683331489563 1.6415743827819824
8 0.9647365808486938 0.10281021147966385 0.6565040946006775 1.8241045475006104
9 0.9695104360580444 0.08876090496778488 0.6572405099868774 1.809459924697876
